S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Constituency,State Code,Constituency Number
1.0,GUMMA THANUJA RANI,Yuvajana Sramika Rythu Congress Party,471470,5535,477005,40.96,1 - Araku (ST) (Andhra Pradesh),1,1
2.0,KOTHAPALLI GEETHA,Bharatiya Janata Party,417113,9312,426425,36.62,1 - Araku (ST) (Andhra Pradesh),1,1
3.0,APPALANARASA PACHIPENTA,Communist Party of India (Marxist),119016,4113,123129,10.57,1 - Araku (ST) (Andhra Pradesh),1,1
4.0,AVASHYA LAHARI . VARAM,Bahujan Samaj Party,24858,892,25750,2.21,1 - Araku (ST) (Andhra Pradesh),1,1
5.0,SAMAREDDY BALAKRISHNA,Independent,9493,42,9535,0.82,1 - Araku (ST) (Andhra Pradesh),1,1
6.0,NIMMAKA JAYARAJU,Independent,8798,664,9462,0.81,1 - Araku (ST) (Andhra Pradesh),1,1
7.0,ATHIDHI,Independent,8121,15,8136,0.7,1 - Araku (ST) (Andhra Pradesh),1,1
8.0,CHANTI BADNAINA,Jai Bharat National Party,7205,47,7252,0.62,1 - Araku (ST) (Andhra Pradesh),1,1
9.0,MOTTADAM . RAJABABU,Bharat Adivasi Party,6370,396,6766,0.58,1 - Araku (ST) (Andhra Pradesh),1,1
10.0,RANJITH KUMAR PALAKA,Independent,6000,47,6047,0.52,1 - Araku (ST) (Andhra Pradesh),1,1
11.0,RAMBABU JALLI,Telugu Rajadhikara Samiti Party,4933,26,4959,0.43,1 - Araku (ST) (Andhra Pradesh),1,1
12.0,MANDALA GIRIDHARA RAO,Independent,4931,36,4967,0.43,1 - Araku (ST) (Andhra Pradesh),1,1
13.0,VUYAKA NIREEKSHAN (V. CHENCHU),India Praja Bandhu Party,4500,42,4542,0.39,1 - Araku (ST) (Andhra Pradesh),1,1
14.0,NOTA,None of the Above,50205,265,50470,4.33,1 - Araku (ST) (Andhra Pradesh),1,1
,Total,,1143013,21432,1164445,,1 - Araku (ST) (Andhra Pradesh),1,1
1.0,KINJARAPU RAMMOHAN NAIDU,Telugu Desam,734501,19827,754328,61.05,2 - Srikakulam (Andhra Pradesh),1,2
2.0,TILAK PERADA,Yuvajana Sramika Rythu Congress Party,420394,6033,426427,34.51,2 - Srikakulam (Andhra Pradesh),1,2
3.0,PEDADA PARAMESWARA RAO,Indian National Congress,6724,448,7172,0.58,2 - Srikakulam (Andhra Pradesh),1,2
4.0,SANAPALA SRAVAN KUMAR,Independent,5950,8,5958,0.48,2 - Srikakulam (Andhra Pradesh),1,2
5.0,NAIDUGARI RAJASEKHAR,Bahujan Samaj Party,4661,81,4742,0.38,2 - Srikakulam (Andhra Pradesh),1,2
6.0,VABA YOGESWARA RAO,Independent,3472,126,3598,0.29,2 - Srikakulam (Andhra Pradesh),1,2
7.0,BETHA VIVEKANANDA MAHARAJ,Independent,2523,13,2536,0.21,2 - Srikakulam (Andhra Pradesh),1,2
8.0,YEDDU LAKSHMINARAYANA,Independent,1598,7,1605,0.13,2 - Srikakulam (Andhra Pradesh),1,2
9.0,BORUBADRA CHANDRAKALA,Bharatha Chaitanya Yuvajana Party,1315,42,1357,0.11,2 - Srikakulam (Andhra Pradesh),1,2
10.0,IPPILI SEETHARAJU,Jai Bharat National Party,1080,50,1130,0.09,2 - Srikakulam (Andhra Pradesh),1,2
11.0,KAYA DURGARAO,Navarang Congress Party,811,7,818,0.07,2 - Srikakulam (Andhra Pradesh),1,2
12.0,CHELLURI DANIYAL,Independent,796,20,816,0.07,2 - Srikakulam (Andhra Pradesh),1,2
13.0,BOMMALI TIRUPATI RAO,Pyramid Party of India,589,5,594,0.05,2 - Srikakulam (Andhra Pradesh),1,2
14.0,NOTA,None of the Above,24498,107,24605,1.99,2 - Srikakulam (Andhra Pradesh),1,2
,Total,,1208912,26774,1235686,,2 - Srikakulam (Andhra Pradesh),1,2
1.0,APPALANAIDU KALISETTI,Telugu Desam,729284,13829,743113,57.2,3 - Vizianagaram (Andhra Pradesh),1,3
2.0,BELLANA CHANDRASEKHAR,Yuvajana Sramika Rythu Congress Party,487691,6071,493762,38.0,3 - Vizianagaram (Andhra Pradesh),1,3
3.0,BOBBILI SRINU,Indian National Congress,10270,353,10623,0.82,3 - Vizianagaram (Andhra Pradesh),1,3
4.0,PEERUBANDI PRAKASH RAO,Bahujan Samaj Party,7985,53,8038,0.62,3 - Vizianagaram (Andhra Pradesh),1,3
5.0,VELURI VENKATA TRINADHARAO,Independent,4146,6,4152,0.32,3 - Vizianagaram (Andhra Pradesh),1,3
6.0,ALLU SRIRAMULU,Independent,3396,5,3401,0.26,3 - Vizianagaram (Andhra Pradesh),1,3
7.0,SIYYADULA YELLA RAO,Independent,3105,2,3107,0.24,3 - Vizianagaram (Andhra Pradesh),1,3
8.0,SRINIVASA RAO SAMBHANA,Yuga Thulasi Party,1758,3,1761,0.14,3 - Vizianagaram (Andhra Pradesh),1,3
9.0,MARISERLA KRISHNAMURTHY NAIDU,Independent,1617,12,1629,0.13,3 - Vizianagaram (Andhra Pradesh),1,3
10.0,VANGAPANDU MAHESWARA RAO,Naba Bharata Nirmana Seva Party,1544,9,1553,0.12,3 - Vizianagaram (Andhra Pradesh),1,3
11.0,CHINNAM ARUNA KUMAR,Jaibhim Rao Bharat Party,1401,10,1411,0.11,3 - Vizianagaram (Andhra Pradesh),1,3
12.0,ATCHIYYA NAIDU SAMIREDDY,Samajwadi Party,1059,11,1070,0.08,3 - Vizianagaram (Andhra Pradesh),1,3
13.0,ADINARAYANA TADDI,Independent,855,1,856,0.07,3 - Vizianagaram (Andhra Pradesh),1,3
14.0,P V A ANANDA SAGAR,Independent,787,4,791,0.06,3 - Vizianagaram (Andhra Pradesh),1,3
15.0,SAKHINETI ANANTHA RAJU,Pyramid Party of India,715,10,725,0.06,3 - Vizianagaram (Andhra Pradesh),1,3
16.0,NOTA,None of the Above,23097,153,23250,1.79,3 - Vizianagaram (Andhra Pradesh),1,3
,Total,,1278710,20532,1299242,,3 - Vizianagaram (Andhra Pradesh),1,3
1.0,SRIBHARAT MATHUKUMILI,Telugu Desam,893884,13583,907467,65.42,4 - Visakhapatnam (Andhra Pradesh),1,4
2.0,JHANSI LAKSHMI. BOTCHA.,Yuvajana Sramika Rythu Congress Party,397821,5399,403220,29.07,4 - Visakhapatnam (Andhra Pradesh),1,4
